Palette: 2
RainIntensity: 100
RumbleIntensity: 100
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4

overseersSpawnChance: 0.5
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 0.5
overseersColorOverride(3): 0.1 //idle SRS overseers can be found rarely
overseersColorOverride(5): 1 //the default idle overseer will be purple
overseersColorOverride(0.1, 0.2, 0.1): 0.4 //dark grey overseers can be found

pupSpawnChance: 0.3
Subregion: Overgrown Urban
Subregion: Sewer Swampland
Subregion: Sunscorched Trainway
Subregion: Skyhigh Column of Countless Generations
Room Setting Templates: Inside, Outside, Lush, Above, Swamp, Swampinside
Room_Attr: O7_TM01: PinkLizard-Forbidden,Scavenger-Avoid,
Room_Attr: O7_TM02: PinkLizard-Stay,
Room_Attr: O7_TM03: PinkLizard-Avoid,Centipede-Stay,
Room_Attr: O7_TM04: Scavenger-Like,
Room_Attr: O7_thethreepipes: StandardGroundCreature-Like,Vulture-Forbidden,BrotherLongLegs-Like,Centipede-Like,BigSpider-Like,SpitterSpider-Like,Hoverfly-Forbidden,
Room_Attr: O7_megawallvents: StandardGroundCreature-Stay,PinkLizard-Stay,Vulture-Like,BrotherLongLegs-Stay,BigSpider-Stay,SpitterSpider-Stay,KingVulture-Forbidden,Hoverfly-Like,
Room_Attr: O7_wallventinside: Hoverfly-Forbidden,
Room_Attr: O7_CS0: PinkLizard-Like,Vulture-Like,Hoverfly-Like,
Room_Attr: O7_CS1: YellowLizard-Forbidden,Vulture-Like,Hoverfly-Like,
Room_Attr: O7_CS2: YellowLizard-Avoid,Vulture-Like,Hoverfly-Like,
Room_Attr: O7_distantview: StandardGroundCreature-Forbidden,YellowLizard-Forbidden,Vulture-Like,CicadaA-Forbidden,CicadaB-Forbidden,Centiwing-Forbidden,KingVulture-Forbidden,Hoverfly-Like,
Room_Attr: O7_CS4: YellowLizard-Stay,Vulture-Avoid,Hoverfly-Avoid,
Room_Attr: O7_S01: StandardGroundCreature-Forbidden,PinkLizard-Forbidden,BrotherLongLegs-Forbidden,Centipede-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: O7_S05: Vulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: O7_CS5: YellowLizard-Stay,Hoverfly-Forbidden,
Room_Attr: O7_CS6: YellowLizard-Stay,
Room_Attr: O7_dysonfan: StandardGroundCreature-Like,YellowLizard-Avoid,Vulture-Forbidden,CicadaA-Like,CicadaB-Like,BrotherLongLegs-Like,Centipede-Like,Centiwing-Like,Scavenger-Like,BigSpider-Like,SpitterSpider-Like,BigNeedleWorm-Stay,KingVulture-Forbidden,Hoverfly-Like,
Room_Attr: O7_dysonfan2: StandardGroundCreature-Like,YellowLizard-Forbidden,Vulture-Forbidden,BrotherLongLegs-Like,Centipede-Like,Scavenger-Like,BigSpider-Like,SpitterSpider-Like,BigNeedleWorm-Like,KingVulture-Forbidden,Hoverfly-Like,AlphaOrange-Forbidden,
Room_Attr: O7_dysoninside: WhiteLizard-Like,Vulture-Forbidden,Scavenger-Like,BigNeedleWorm-Like,Hoverfly-Forbidden,AlphaOrange-Forbidden,
Room_Attr: O7_PR01: Vulture-Like,Scavenger-Like,Hoverfly-Like,AlphaOrange-Avoid,
Room_Attr: O7_TRADER: Hoverfly-Forbidden,AlphaOrange-Avoid,
